,dignity_score,christ_centered_score,moral_score
count,1153.0,1151.0,1152.0
mean,6.394622723330443,5.107732406602954,8.244791666666666
std,1.511370865515488,2.4116819282637825,1.1157854604468413
min,1.0,1.0,3.0
25%,6.0,4.0,8.0
50%,6.0,4.0,8.0
75%,7.0,6.0,9.0
max,10.0,10.0,10.0
